"Date","Open","High","Low","Close","Volume"
"05/06/2025","111.48","114.74","110.822","113.54","158,525,600"
"05/05/2025","112.905","114.665","112.66","113.82","133,163,200"
"05/02/2025","114.18","115.4","113.37","114.5","190,194,800"
"05/01/2025","113.08","114.94","111.3","111.61","236,121,500"
"04/30/2025","104.47","108.92","104.08","108.92","235,044,600"
"04/29/2025","107.67","110.1999","107.44","109.02","170,444,300"
"04/28/2025","109.69","110.3699","106.02","108.73","207,708,500"
"04/25/2025","106.85","111.92","105.73","111.01","251,064,700"
"04/24/2025","103.475","106.54","103.11","106.43","220,815,000"
"04/23/2025","104.52","104.8","102.02","102.71","247,526,000"
"04/22/2025","98.78","99.811","97.28","98.89","241,004,800"
"04/21/2025","98.77","99.44","95.04","96.91","288,501,100"
"04/17/2025","104.45","104.47","100.05","101.49","292,517,500"
"04/16/2025","104.55","106.79","100.45","104.49","397,016,900"
"04/15/2025","110.97","113.615","110.5","112.2","228,966,900"
"04/14/2025","114.11","114.29","109.07","110.71","264,705,000"
"04/11/2025","108.5","111.5499","107.48","110.93","313,417,300"
"04/10/2025","109.37","110.86","99.15","107.57","437,812,400"
"04/09/2025","98.89","115.1","97.5301","114.33","612,918,300"
"04/08/2025","103.805","105.85","94.46","96.3","476,243,400"
"04/07/2025","87.46","101.75","86.62","97.64","611,041,300"
"04/04/2025","98.91","100.13","92.11","94.31","532,273,800"
"04/03/2025","103.51","105.63","101.6","101.8","338,769,400"
"04/02/2025","107.29","111.98","106.79","110.42","220,601,200"
"04/01/2025","108.515","110.2","106.47","110.15","222,614,000"
"03/31/2025","105.13","110.955","103.65","108.38","299,212,700"
"03/28/2025","111.485","112.87","109.0701","109.67","229,872,500"
"03/27/2025","111.35","114.45","110.66","111.43","236,902,100"
"03/26/2025","118.73","118.84","112.71","113.76","296,431,700"
"03/25/2025","120.545","121.29","118.92","120.69","167,447,200"
"03/24/2025","119.88","122.22","119.34","121.41","228,452,500"
"03/21/2025","116.94","117.99","115.42","117.7","266,498,500"
"03/20/2025","116.55","120.2","116.47","118.53","248,829,700"
"03/19/2025","117.27","120.445","115.68","117.52","273,426,200"
"03/18/2025","118","119.02","114.54","115.43","299,686,900"
"03/17/2025","122.74","122.89","118.03","119.53","255,501,500"
"03/14/2025","118.61","121.88","118.15","121.67","277,593,500"
"03/13/2025","117.03","117.76","113.79","115.58","299,033,100"
"03/12/2025","114.12","116.76","112.88","115.74","323,857,500"
"03/11/2025","106.99","112.236","104.77","108.76","354,865,700"
"03/10/2025","109.9","111.85","105.46","106.98","366,487,400"
"03/07/2025","111.25","113.48","107.56","112.69","341,755,500"
"03/06/2025","113.53","115.35","110.22","110.57","321,181,900"
"03/05/2025","117.58","118.2781","114.51","117.3","284,337,900"
"03/04/2025","110.645","119.31","110.11","115.99","398,163,300"
"03/03/2025","123.51","123.7","112.28","114.06","411,381,400"
"02/28/2025","118.02","125.09","116.4","124.92","389,091,100"
"02/27/2025","135","135.01","120.01","120.15","443,175,800"
"02/26/2025","129.985","133.73","128.49","131.28","322,553,800"
"02/25/2025","129.98","130.2","124.44","126.63","271,428,700"
"02/24/2025","136.56","138.59","130.08","130.28","251,381,100"
"02/21/2025","140.04","141.46","134.03","134.43","228,217,600"
"02/20/2025","140.03","140.66","136.7901","140.11","143,903,600"
"02/19/2025","139.51","141.36","137.22","139.23","167,536,000"
"02/18/2025","141.27","143.44","137.925","139.4","219,176,600"
"02/14/2025","136.48","139.25","135.5","138.85","195,479,600"
"02/13/2025","131.555","136.5","131.17","135.29","197,430,000"
"02/12/2025","130.02","132.24","129.08","131.14","160,278,600"
"02/11/2025","132.58","134.48","131.02","132.8","178,902,400"
"02/10/2025","130.09","135","129.96","133.57","216,989,100"
"02/07/2025","129.22","130.37","125","129.84","228,186,300"
"02/06/2025","127.42","128.77","125.21","128.68","251,483,600"
"02/05/2025","121.76","125","120.76","124.83","263,110,600"
"02/04/2025","116.96","121.2","116.7","118.65","256,550,000"
"02/03/2025","114.75","118.57","113.01","116.66","371,235,700"
"01/31/2025","123.78","127.85","119.19","120.07","390,372,900"
"01/30/2025","123.1","125","118.1","124.65","392,925,500"
"01/29/2025","126.5","126.89","120.05","123.7","467,120,600"
"01/28/2025","121.81","129","116.25","128.99","579,666,400"
"01/27/2025","124.8","128.4","116.7","118.42","818,830,900"
